This file was created using the 202508 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 prior return portfolios in Europe.

The portfolios are constructed monthly.  ME is market cap at the end of the
previous month.  Prior return is from -12 to - 2.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
2008 ,-59.51 ,-49.61 ,-44.39 ,-56.63 ,-40.55 ,-42.69
2009  ,79.24  ,46.21  ,30.89  ,67.13  ,32.56  ,15.93
2010  ,-4.69  ,17.39  ,30.34  ,-7.48  ,10.24  ,16.81
2011 ,-29.12 ,-16.23 ,-15.09 ,-16.91 ,-10.01 ,-12.46
2012  ,14.98  ,24.02  ,32.90  ,16.37  ,19.42  ,25.68
2013  ,21.32  ,39.07  ,52.46  ,18.71  ,25.83  ,37.76
2014 ,-17.16  ,-3.56  ,-4.74  ,-5.44  ,-4.85  ,-9.24
2015  ,-5.68   ,8.66  ,19.80 ,-10.30   ,2.27   ,3.87
2016   ,3.10   ,3.60   ,8.31  ,-1.16  ,-0.88   ,0.43
2017  ,27.24  ,34.00  ,42.84  ,26.17  ,30.16  ,27.91
2018 ,-23.17 ,-16.13 ,-15.86 ,-18.02 ,-12.27 ,-11.66
2019  ,17.90  ,20.82  ,33.91  ,20.66  ,22.86  ,27.86
2020  ,16.68   ,9.65  ,36.23  ,-2.38   ,8.88  ,17.31
2021  ,11.29  ,18.65  ,21.10  ,17.76  ,19.51  ,12.60
2022 ,-30.55 ,-19.78 ,-18.95 ,-21.47 ,-11.80 ,-18.91
2023   ,9.95  ,11.26  ,12.26  ,20.17  ,23.20  ,15.28
2024 ,-11.56   ,2.36   ,5.18  ,-5.15   ,2.43   ,5.42



  Average Equal Weighted Returns -- Annual
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
1991   ,0.78   ,1.08  ,15.88   ,4.19   ,2.27   ,5.92
1992 ,-23.01 ,-15.79  ,-9.76 ,-20.86  ,-9.98  ,-4.68
1993  ,44.48  ,33.77  ,53.59  ,35.82  ,29.97  ,33.59
1994  ,18.63  ,18.26  ,18.75  ,11.35   ,5.34   ,4.85
1995  ,-0.30   ,9.77  ,26.02   ,1.81  ,12.45  ,22.83
1996  ,10.43  ,20.26  ,40.55  ,15.86  ,21.47  ,28.67
1997   ,4.60   ,7.91  ,18.79  ,11.26  ,13.63  ,25.54
1998   ,6.06  ,16.55  ,30.32  ,10.35  ,27.94  ,33.14
1999  ,21.42  ,18.54 ,119.42  ,15.51   ,4.58  ,27.33
2000  ,-5.20   ,4.17 ,-13.83   ,4.75   ,6.47 ,-23.13
2001 ,-27.59  ,-3.98  ,-2.80 ,-26.34 ,-10.71  ,-8.50
2002 ,-28.30   ,4.52  ,21.86 ,-30.13  ,-0.95  ,10.90
2003  ,80.51  ,56.85  ,62.33  ,57.24  ,48.96  ,53.07
2004  ,16.83  ,32.86  ,36.10  ,25.07  ,31.38  ,32.60
2005   ,3.98  ,16.47  ,30.99  ,10.37  ,15.99  ,23.53
2006  ,27.90  ,42.28  ,52.27  ,39.22  ,43.65  ,51.68
2007  ,-1.58  ,11.69  ,17.01   ,3.50  ,11.21  ,15.83
2008 ,-60.69 ,-47.47 ,-38.64 ,-54.52 ,-43.56 ,-43.95
2009  ,78.65  ,35.64  ,28.48  ,72.83  ,38.08  ,27.95
2010  ,-0.79  ,14.27  ,27.21  ,-2.79  ,15.22  ,30.23
2011 ,-24.09 ,-10.96  ,-8.15 ,-19.65 ,-14.36 ,-16.68
2012  ,10.87  ,16.50  ,19.67  ,23.33  ,24.66  ,26.39
2013  ,21.91  ,34.86  ,46.66  ,18.30  ,31.68  ,42.95
2014 ,-17.31  ,-2.09  ,-5.12  ,-8.07  ,-4.74  ,-7.09
2015  ,-7.09   ,6.90  ,18.72  ,-7.77   ,6.19  ,10.57
2016   ,0.35   ,6.08  ,11.38   ,1.04  ,-2.77   ,1.08
2017  ,25.68  ,36.65  ,43.94  ,30.44  ,35.51  ,33.54
2018 ,-23.67 ,-11.95 ,-10.79 ,-16.92 ,-13.40 ,-14.05
2019  ,12.93  ,16.21  ,29.22  ,21.31  ,24.39  ,32.86
2020  ,43.60  ,21.19  ,46.61   ,7.59  ,12.63  ,18.19
2021  ,10.33  ,22.65  ,23.40  ,13.66  ,16.23  ,12.86
2022 ,-36.83 ,-18.94 ,-15.95 ,-27.43 ,-17.22 ,-22.38
2023  ,-5.96   ,5.13  ,11.72  ,26.09  ,19.47  ,12.44
2024 ,-16.60  ,-2.23   ,2.65  ,-4.59   ,0.80   ,7.25



  Number of Firms in Portfolios
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
199011   ,1190    ,776    ,626    ,325    ,436    ,290
199012   ,1240    ,776    ,631    ,324    ,434    ,289
199101   ,1208    ,820    ,613    ,316    ,428    ,286
199102   ,1311    ,810    ,588    ,312    ,422    ,286
199103   ,1410    ,784    ,540    ,315    ,424    ,291
199104   ,1336    ,901    ,501    ,322    ,432    ,292
199105   ,1299    ,926    ,569    ,321    ,425    ,296
199106   ,1285    ,801    ,729    ,322    ,425    ,292
199107   ,1400    ,735    ,657    ,331    ,423    ,293
199108   ,1358    ,814    ,658    ,336    ,421    ,295
199109   ,1479    ,793    ,555    ,342    ,421    ,297
199110   ,1700    ,643    ,488    ,349    ,424    ,301
199111   ,1489    ,788    ,602    ,341    ,432    ,302
199112   ,1392    ,762    ,704    ,339    ,434    ,301
199201   ,1412    ,753    ,741    ,329    ,434    ,298
199202   ,1325    ,752    ,825    ,329    ,423    ,299
199203   ,1430    ,764    ,755    ,329    ,436    ,299
199204   ,1523    ,796    ,654    ,334    ,426    ,301
199205   ,1555    ,784    ,670    ,331    ,420    ,297
199206   ,1523    ,798    ,678    ,324    ,411    ,296
199207   ,1490    ,788    ,692    ,325    ,413    ,294
199208   ,1502    ,820    ,790    ,329    ,417    ,297
199209   ,1459    ,920    ,802    ,324    ,410    ,296
199210   ,1522    ,975    ,753    ,321    ,406    ,289
199211   ,1555   ,1050    ,648    ,311    ,409    ,289
199212   ,1726    ,996    ,539    ,309    ,404    ,283
199301   ,1744    ,934    ,542    ,308    ,401    ,281
199302   ,1634    ,986    ,636    ,306    ,413    ,288
199303   ,1625    ,971    ,678    ,308    ,412    ,287
199304   ,1777    ,889    ,629    ,310    ,418    ,289
199305   ,1645    ,917    ,721    ,321    ,416    ,295
199306   ,1610    ,863    ,793    ,315    ,418    ,295
199307   ,1656    ,857    ,769    ,318    ,421    ,294
199308   ,1656    ,837    ,775    ,319    ,430    ,297
199309   ,1706    ,785    ,781    ,328    ,421    ,299
199310   ,1690    ,756    ,901    ,333    ,425    ,301
199311   ,1590    ,854   ,1022    ,322    ,428    ,297
199312   ,1609    ,822   ,1046    ,327    ,425    ,300
199401   ,1559    ,851   ,1135    ,328    ,420    ,296
199402   ,1664    ,826   ,1013    ,338    ,435    ,310
199403   ,1517    ,949   ,1135    ,347    ,457    ,325
199404   ,1431    ,938   ,1256    ,362    ,475    ,327
199405   ,1409    ,990   ,1241    ,358    ,472    ,328
199406   ,1407   ,1064   ,1144    ,360    ,469    ,334
199407   ,1310   ,1023   ,1303    ,366    ,477    ,334
199408   ,1203   ,1036   ,1402    ,358    ,479    ,329
199409   ,1243   ,1134   ,1222    ,357    ,471    ,329
199410   ,1348   ,1074   ,1205    ,360    ,480    ,336
199411   ,1060   ,1212   ,1363    ,353    ,481    ,331
199412   ,1242   ,1177   ,1280    ,354    ,486    ,332
199501   ,1170   ,1111   ,1426    ,367    ,474    ,329
199502   ,1290   ,1096   ,1344    ,367    ,485    ,334
199503   ,1398   ,1091   ,1266    ,357    ,480    ,333
199504   ,1513   ,1097   ,1157    ,356    ,463    ,327
199505   ,1471   ,1081   ,1241    ,339    ,456    ,325
199506   ,1778   ,1133    ,926    ,350    ,460    ,326
199507   ,1911   ,1067    ,842    ,342    ,461    ,326
199508   ,1623   ,1199    ,974    ,338    ,457    ,324
199509   ,1817   ,1125    ,913    ,350    ,455    ,324
199510   ,2039   ,1056    ,815    ,342    ,455    ,325
199511   ,1918   ,1119    ,902    ,344    ,449    ,320
199512   ,1809   ,1228    ,924    ,339    ,447    ,319
199601   ,1900   ,1293    ,800    ,335    ,430    ,314
199602   ,2048   ,1266    ,726    ,331    ,432    ,308
199603   ,2224   ,1082    ,717    ,347    ,437    ,315
199604   ,2206   ,1048    ,773    ,338    ,442    ,314
199605   ,1995   ,1126    ,881    ,329    ,435    ,312
199606   ,2088   ,1071    ,878    ,336    ,436    ,315
199607   ,2077   ,1068    ,919    ,340    ,442    ,312
199608   ,1942   ,1104   ,1011    ,339    ,440    ,317
199609   ,1939   ,1139    ,988    ,331    ,432    ,310
199610   ,2105    ,992   ,1025    ,325    ,420    ,306
199611   ,2121   ,1095    ,929    ,331    ,423    ,308
199612   ,2075   ,1107   ,1024    ,325    ,420    ,304
199701   ,2095   ,1104   ,1016    ,319    ,415    ,300
199702   ,2093   ,1110    ,993    ,329    ,423    ,306
199703   ,2108   ,1061   ,1022    ,334    ,431    ,308
199704   ,2091   ,1033   ,1052    ,330    ,423    ,308
199705   ,2146   ,1025   ,1055    ,322    ,419    ,303
199706   ,2257   ,1034    ,965    ,321    ,419    ,299
199707   ,2271   ,1097    ,936    ,312    ,409    ,290
199708   ,2422   ,1127    ,817    ,299    ,395    ,281
199709   ,2556   ,1037    ,733    ,316    ,413    ,292
199710   ,2356   ,1095    ,900    ,306    ,404    ,285
199711   ,2463   ,1141    ,767    ,312    ,427    ,295
199712   ,2243   ,1273    ,921    ,313    ,413    ,290
199801   ,2244   ,1332    ,896    ,303    ,393    ,279
199802   ,2442   ,1278    ,771    ,304    ,401    ,276
199803   ,2446   ,1381    ,675    ,287    ,384    ,270
199804   ,2568   ,1312    ,617    ,289    ,387    ,273
199805   ,2656   ,1178    ,648    ,297    ,388    ,279
199806   ,2695   ,1146    ,664    ,299    ,398    ,281
199807   ,2587   ,1140    ,815    ,287    ,386    ,272
199808   ,2329   ,1411    ,841    ,287    ,379    ,266
199809   ,2562   ,1352    ,630    ,286    ,373    ,265
199810   ,2104   ,1622    ,817    ,286    ,372    ,261
199811   ,2280   ,1548    ,793    ,277    ,357    ,251
199812   ,2522   ,1396    ,721    ,264    ,347    ,241
199901   ,2617   ,1310    ,730    ,252    ,329    ,230
199902   ,2582   ,1379    ,702    ,252    ,324    ,230
199903   ,2407   ,1471    ,756    ,253    ,328    ,232
199904   ,2228   ,1500    ,896    ,246    ,330    ,231
199905   ,2337   ,1367    ,931    ,257    ,326    ,233
199906   ,2523   ,1153    ,949    ,271    ,344    ,243
199907   ,2285   ,1405   ,1002    ,261    ,339    ,241
199908   ,2211   ,1470   ,1009    ,263    ,347    ,248
199909   ,2383   ,1385    ,900    ,280    ,356    ,254
199910   ,2489   ,1301    ,844    ,280    ,360    ,254
199911   ,2005   ,1487   ,1173    ,266    ,356    ,248
199912   ,1932   ,1582   ,1155    ,260    ,343    ,245
200001   ,1827   ,1733   ,1164    ,246    ,323    ,231
200002   ,1932   ,1686   ,1054    ,265    ,341    ,245
200003   ,1543   ,2016   ,1128    ,258    ,341    ,240
200004   ,1395   ,2100   ,1223    ,247    ,324    ,236
200005   ,1664   ,1829   ,1277    ,243    ,315    ,229
200006   ,1952   ,1647   ,1163    ,252    ,330    ,231
200007   ,2013   ,1605   ,1210    ,250    ,328    ,235
200008   ,2067   ,1770   ,1036    ,246    ,325    ,234
200009   ,2176   ,1652   ,1012    ,250    ,328    ,233
200010   ,2352   ,1439   ,1026    ,254    ,335    ,236
200011   ,2187   ,1548   ,1114    ,238    ,312    ,225
200012   ,2403   ,1435   ,1071    ,238    ,313    ,221
200101   ,2173   ,1763   ,1006    ,234    ,311    ,218
200102   ,2617   ,1585    ,718    ,239    ,318    ,222
200103   ,2596   ,1648    ,669    ,239    ,324    ,227
200104   ,2681   ,1515    ,800    ,234    ,319    ,222
200105   ,2477   ,1643    ,943    ,223    ,312    ,215
200106   ,2635   ,1487    ,974    ,232    ,316    ,219
200107   ,2641   ,1565    ,995    ,233    ,305    ,214
200108   ,2586   ,1673   ,1014    ,225    ,309    ,212
200109   ,2716   ,1569    ,953    ,234    ,310    ,214
200110   ,2751   ,1523   ,1019    ,214    ,293    ,203
200111   ,2515   ,1504   ,1296    ,217    ,294    ,205
200112   ,2477   ,1449   ,1424    ,228    ,298    ,209
200201   ,2505   ,1394   ,1473    ,225    ,292    ,207
200202   ,2500   ,1539   ,1305    ,229    ,300    ,208
200203   ,2610   ,1444   ,1315    ,229    ,295    ,207
200204   ,2728   ,1402   ,1250    ,223    ,288    ,205
200205   ,2770   ,1425   ,1187    ,227    ,302    ,208
200206   ,2677   ,1440   ,1227    ,229    ,309    ,214
200207   ,2579   ,1491   ,1302    ,228    ,307    ,215
200208   ,2382   ,1507   ,1396    ,229    ,316    ,219
200209   ,2288   ,1512   ,1469    ,229    ,306    ,216
200210   ,2299   ,1510   ,1384    ,232    ,308    ,218
200211   ,2080   ,1542   ,1564    ,218    ,293    ,205
200212   ,2255   ,1418   ,1504    ,213    ,290    ,205
200301   ,2341   ,1347   ,1459    ,217    ,299    ,209
200302   ,2251   ,1244   ,1614    ,220    ,306    ,208
200303   ,2128   ,1275   ,1692    ,216    ,300    ,207
200304   ,2034   ,1321   ,1705    ,216    ,295    ,206
200305   ,2028   ,1286   ,1754    ,219    ,296    ,203
200306   ,2123   ,1273   ,1684    ,215    ,297    ,207
200307   ,2119   ,1324   ,1633    ,225    ,304    ,209
200308   ,2121   ,1449   ,1485    ,222    ,301    ,211
200309   ,2114   ,1313   ,1589    ,232    ,305    ,215
200310   ,2160   ,1368   ,1495    ,237    ,307    ,220
200311   ,1735   ,1373   ,1925    ,229    ,315    ,219
200312   ,1854   ,1244   ,1917    ,232    ,310    ,218
200401   ,2007   ,1240   ,1762    ,232    ,302    ,214
200402   ,2218   ,1154   ,1637    ,236    ,306    ,218
200403   ,2001   ,1211   ,1756    ,236    ,306    ,219
200404   ,1928   ,1123   ,1866    ,239    ,307    ,220
200405   ,1820   ,1083   ,2037    ,243    ,304    ,219
200406   ,1905   ,1025   ,1972    ,239    ,308    ,218
200407   ,2080    ,981   ,1795    ,242    ,295    ,218
200408   ,2083   ,1012   ,1718    ,238    ,303    ,218
200409   ,2245    ,984   ,1584    ,233    ,301    ,214
200410   ,2454   ,1015   ,1315    ,233    ,304    ,215
200411   ,2303   ,1227   ,1275    ,235    ,305    ,216
200412   ,2289   ,1192   ,1262    ,238    ,314    ,219
200501   ,2287   ,1164   ,1340    ,246    ,320    ,224
200502   ,2482   ,1100   ,1162    ,256    ,325    ,230
200503   ,2486   ,1057   ,1226    ,258    ,323    ,231
200504   ,2424   ,1089   ,1269    ,260    ,330    ,231
200505   ,2428   ,1024   ,1308    ,255    ,332    ,232
200506   ,2269   ,1077   ,1405    ,249    ,327    ,229
200507   ,2394    ,999   ,1336    ,257    ,328    ,231
200508   ,2402   ,1056   ,1310    ,255    ,325    ,230
200509   ,2320   ,1126   ,1307    ,254    ,328    ,232
200510   ,2193   ,1158   ,1409    ,251    ,327    ,230
200511   ,2238   ,1170   ,1361    ,255    ,319    ,231
200512   ,2248   ,1149   ,1377    ,249    ,329    ,231
200601   ,2328   ,1145   ,1354    ,250    ,321    ,230
200602   ,2657    ,997   ,1213    ,250    ,319    ,232
200603   ,2619   ,1062   ,1154    ,252    ,333    ,236
200604   ,2622   ,1063   ,1163    ,257    ,336    ,240
200605   ,2627   ,1086   ,1148    ,262    ,341    ,244
200606   ,2371   ,1163   ,1306    ,259    ,340    ,245
200607   ,2397   ,1150   ,1349    ,255    ,336    ,242
200608   ,2521   ,1169   ,1235    ,255    ,333    ,238
200609   ,2682   ,1034   ,1192    ,256    ,328    ,238
200610   ,2726   ,1002   ,1169    ,256    ,332    ,235
200611   ,2823    ,995   ,1063    ,259    ,338    ,242
200612   ,2806    ,988   ,1108    ,265    ,344    ,247
200701   ,2747   ,1002   ,1196    ,267    ,345    ,249
200702   ,2874    ,955   ,1119    ,268    ,346    ,250
200703   ,2784    ,949   ,1234    ,272    ,347    ,252
200704   ,2748    ,987   ,1257    ,276    ,349    ,253
200705   ,2846   ,1028   ,1130    ,280    ,348    ,254
200706   ,2957    ,952   ,1117    ,272    ,352    ,254
200707   ,2835    ,979   ,1245    ,275    ,360    ,256
200708   ,2665   ,1065   ,1342    ,278    ,363    ,261
200709   ,2488   ,1146   ,1449    ,277    ,352    ,256
200710   ,2441   ,1240   ,1440    ,269    ,339    ,248
200711   ,2463   ,1419   ,1427    ,262    ,343    ,247
200712   ,2752   ,1303   ,1340    ,261    ,324    ,240
200801   ,2725   ,1446   ,1291    ,247    ,340    ,236
200802   ,2733   ,1525   ,1196    ,247    ,328    ,236
200803   ,2688   ,1486   ,1262    ,250    ,335    ,238
200804   ,2614   ,1503   ,1311    ,248    ,328    ,236
200805   ,2695   ,1480   ,1289    ,239    ,327    ,232
200806   ,2843   ,1479   ,1167    ,239    ,324    ,231
200807   ,3024   ,1454   ,1079    ,243    ,326    ,232
200808   ,2805   ,1595   ,1202    ,237    ,312    ,228
200809   ,2749   ,1597   ,1242    ,239    ,318    ,227
200810   ,2913   ,1338   ,1290    ,230    ,314    ,221
200811   ,2735   ,1441   ,1365    ,215    ,289    ,204
200812   ,2705   ,1532   ,1319    ,214    ,279    ,200
200901   ,2803   ,1450   ,1254    ,208    ,275    ,195
200902   ,3047   ,1292   ,1157    ,218    ,280    ,202
200903   ,2874   ,1471   ,1073    ,217    ,281    ,203
200904   ,2447   ,1697   ,1228    ,218    ,279    ,202
200905   ,2529   ,1533   ,1329    ,221    ,287    ,207
200906   ,2691   ,1439   ,1266    ,225    ,295    ,210
200907   ,2826   ,1389   ,1189    ,227    ,303    ,213
200908   ,2620   ,1464   ,1326    ,226    ,292    ,207
200909   ,2729   ,1359   ,1265    ,227    ,299    ,212
200910   ,2840   ,1257   ,1274    ,229    ,302    ,213
200911   ,2822   ,1263   ,1268    ,228    ,304    ,214
200912   ,2548   ,1353   ,1444    ,227    ,288    ,209
201001   ,2391   ,1359   ,1571    ,217    ,284    ,205
201002   ,2699   ,1478   ,1086    ,228    ,298    ,213
201003   ,2712   ,1363   ,1142    ,228    ,290    ,211
201004   ,2640   ,1266   ,1269    ,226    ,293    ,209
201005   ,2826   ,1122   ,1196    ,230    ,299    ,214
201006   ,2719   ,1316   ,1070    ,222    ,297    ,212
201007   ,2807   ,1230   ,1032    ,227    ,296    ,212
201008   ,2393   ,1397   ,1241    ,220    ,300    ,209
201009   ,2576   ,1304   ,1132    ,222    ,285    ,209
201010   ,2406   ,1515   ,1135    ,218    ,297    ,208
201011   ,2903   ,1155    ,987    ,218    ,292    ,208
201012   ,2765   ,1157   ,1056    ,218    ,292    ,209
201101   ,2380   ,1391   ,1235    ,221    ,295    ,212
201102   ,2703   ,1134   ,1147    ,218    ,292    ,212
201103   ,2604    ,998   ,1383    ,221    ,288    ,210
201104   ,2464   ,1001   ,1511    ,225    ,297    ,214
201105   ,2628    ,918   ,1429    ,228    ,292    ,212
201106   ,2655    ,990   ,1300    ,227    ,287    ,211
201107   ,2658    ,983   ,1302    ,223    ,288    ,209
201108   ,2531   ,1037   ,1367    ,219    ,289    ,209
201109   ,2408   ,1122   ,1387    ,220    ,286    ,209
201110   ,2150   ,1261   ,1466    ,221    ,279    ,206
201111   ,2004   ,1334   ,1547    ,214    ,272    ,198
201112   ,2265   ,1305   ,1285    ,208    ,265    ,194
201201   ,2184   ,1430   ,1242    ,207    ,261    ,192
201202   ,2239   ,1497   ,1105    ,211    ,269    ,196
201203   ,2310   ,1492   ,1016    ,213    ,266    ,197
201204   ,2344   ,1523    ,955    ,212    ,266    ,196
201205   ,2284   ,1503   ,1027    ,213    ,271    ,197
201206   ,2370   ,1426    ,990    ,210    ,270    ,198
201207   ,2116   ,1648   ,1032    ,206    ,270    ,192
201208   ,2574   ,1400    ,811    ,200    ,266    ,191
201209   ,2834   ,1187    ,729    ,206    ,264    ,190
201210   ,3084    ,932    ,693    ,207    ,268    ,193
201211   ,2834    ,996    ,879    ,209    ,263    ,191
201212   ,2667   ,1082    ,928    ,200    ,260    ,188
201301   ,2688   ,1080    ,837    ,196    ,261    ,190
201302   ,2753    ,980    ,872    ,195    ,263    ,191
201303   ,2699    ,990    ,909    ,198    ,264    ,194
201304   ,2693    ,972    ,904    ,192    ,263    ,191
201305   ,2749    ,937    ,882    ,196    ,258    ,189
201306   ,2872    ,855    ,802    ,201    ,258    ,190
201307   ,2640    ,994    ,883    ,203    ,263    ,192
201308   ,2436   ,1099   ,1002    ,196    ,262    ,190
201309   ,2560   ,1037    ,896    ,201    ,267    ,194
201310   ,2415   ,1066   ,1028    ,203    ,268    ,194
201311   ,2404    ,925   ,1179    ,204    ,267    ,196
201312   ,2283   ,1080   ,1143    ,201    ,273    ,196
201401   ,2305    ,973   ,1218    ,203    ,271    ,197
201402   ,2379    ,977   ,1095    ,208    ,277    ,203
201403   ,2127   ,1023   ,1304    ,212    ,275    ,203
201404   ,2042   ,1134   ,1264    ,214    ,280    ,206
201405   ,1911   ,1118   ,1405    ,211    ,282    ,205
201406   ,1942   ,1026   ,1464    ,214    ,276    ,205
201407   ,2155    ,876   ,1379    ,216    ,280    ,207
201408   ,1912    ,966   ,1542    ,215    ,286    ,208
201409   ,1966   ,1027   ,1407    ,212    ,282    ,206
201410   ,2016    ,985   ,1402    ,211    ,274    ,201
201411   ,1968   ,1067   ,1384    ,207    ,278    ,200
201412   ,2064   ,1182   ,1167    ,206    ,271    ,199
201501   ,2144   ,1157   ,1094    ,207    ,279    ,201
201502   ,2464   ,1013    ,912    ,204    ,276    ,198
201503   ,2454   ,1060    ,843    ,205    ,273    ,200
201504   ,2686    ,911    ,737    ,202    ,274    ,200
201505   ,2660    ,905    ,764    ,208    ,277    ,202
201506   ,2539    ,961    ,856    ,208    ,280    ,204
201507   ,2657    ,879    ,810    ,214    ,285    ,210
201508   ,2557    ,974    ,845    ,212    ,286    ,210
201509   ,2423    ,870    ,834    ,217    ,291    ,213
201510   ,2381   ,1024    ,928    ,219    ,289    ,214
201511   ,2164   ,1090   ,1088    ,218    ,282    ,210
201512   ,2139   ,1103   ,1082    ,217    ,285    ,209
201601   ,2290    ,951   ,1076    ,219    ,294    ,215
201602   ,1891   ,1175   ,1274    ,219    ,285    ,212
201603   ,1650   ,1326   ,1352    ,221    ,292    ,214
201604   ,1600   ,1270   ,1456    ,225    ,294    ,217
201605   ,1624   ,1363   ,1356    ,227    ,296    ,218
201606   ,1663   ,1218   ,1442    ,225    ,298    ,220
201607   ,1911   ,1282   ,1176    ,220    ,290    ,216
201608   ,1726   ,1243   ,1219    ,218    ,295    ,216
201609   ,1981   ,1330   ,1045    ,220    ,298    ,219
201610   ,2020   ,1250   ,1073    ,222    ,303    ,219
201611   ,1840   ,1213   ,1277    ,226    ,304    ,221
201612   ,1739   ,1093   ,1513    ,228    ,307    ,222
201701   ,1708   ,1236   ,1416    ,229    ,302    ,221
201702   ,1873   ,1207   ,1260    ,230    ,303    ,224
201703   ,1822   ,1078   ,1433    ,232    ,308    ,224
201704   ,1935    ,986   ,1423    ,227    ,307    ,223
201705   ,2090    ,971   ,1289    ,228    ,310    ,227
201706   ,2037   ,1017   ,1310    ,237    ,310    ,228
201707   ,2132    ,996   ,1272    ,237    ,321    ,232
201708   ,1893   ,1043   ,1443    ,235    ,315    ,231
201709   ,1984    ,980   ,1409    ,235    ,315    ,230
201710   ,2022    ,996   ,1326    ,236    ,312    ,230
201711   ,2101    ,952   ,1323    ,234    ,313    ,229
201712   ,2284    ,894   ,1200    ,233    ,319    ,230
201801   ,2125   ,1062   ,1229    ,236    ,319    ,232
201802   ,2325    ,927   ,1158    ,234    ,320    ,231
201803   ,2214    ,974   ,1195    ,235    ,322    ,233
201804   ,2077   ,1001   ,1327    ,235    ,317    ,232
201805   ,1966   ,1083   ,1359    ,234    ,316    ,231
201806   ,2046   ,1129   ,1253    ,235    ,317    ,233
201807   ,2104   ,1226   ,1116    ,238    ,318    ,232
201808   ,2174   ,1149   ,1118    ,238    ,316    ,230
201809   ,2288   ,1040   ,1078    ,236    ,319    ,231
201810   ,2104   ,1279   ,1045    ,233    ,312    ,228
201811   ,2033   ,1334   ,1088    ,231    ,311    ,227
201812   ,2090   ,1271   ,1118    ,225    ,305    ,224
201901   ,2041   ,1307   ,1118    ,230    ,307    ,224
201902   ,2027   ,1306   ,1127    ,230    ,304    ,223
201903   ,2252   ,1247    ,962    ,228    ,303    ,221
201904   ,2349   ,1237    ,906    ,222    ,301    ,218
201905   ,2249   ,1308    ,916    ,223    ,301    ,219
201906   ,2418   ,1139    ,918    ,223    ,302    ,221
201907   ,2127   ,1428    ,963    ,220    ,297    ,218
201908   ,2322   ,1259    ,951    ,218    ,297    ,215
201909   ,2281   ,1310    ,936    ,216    ,296    ,214
201910   ,2256   ,1393    ,881    ,217    ,292    ,212
201911   ,2462   ,1136    ,925    ,219    ,290    ,213
201912   ,2560   ,1070    ,892    ,217    ,292    ,215
202001   ,2684    ,894    ,962    ,220    ,297    ,216
202002   ,2518   ,1002    ,992    ,218    ,302    ,215
202003   ,2328   ,1051   ,1131    ,222    ,293    ,215
202004   ,2163   ,1135   ,1228    ,208    ,275    ,202
202005   ,2087   ,1306   ,1141    ,216    ,289    ,210
202006   ,2102   ,1333   ,1074    ,214    ,292    ,209
202007   ,2034   ,1405   ,1070    ,211    ,287    ,208
202008   ,2087   ,1385   ,1086    ,215    ,295    ,212
202009   ,1883   ,1545   ,1106    ,218    ,299    ,215
202010   ,1842   ,1504   ,1178    ,217    ,298    ,216
202011   ,1775   ,1535   ,1211    ,226    ,300    ,220
202012   ,1608   ,1556   ,1372    ,223    ,305    ,221
202101   ,1914   ,1330   ,1288    ,230    ,315    ,228
202102   ,1886   ,1338   ,1308    ,233    ,320    ,230
202103   ,1753   ,1224   ,1533    ,240    ,323    ,235
202104   ,1647   ,1188   ,1678    ,238    ,320    ,233
202105   ,1823   ,1139   ,1503    ,238    ,325    ,234
202106   ,1668   ,1199   ,1593    ,237    ,319    ,233
202107   ,1641   ,1322   ,1527    ,235    ,319    ,233
202108   ,1812   ,1143   ,1509    ,240    ,320    ,233
202109   ,1912   ,1058   ,1463    ,241    ,323    ,234
202110   ,1860   ,1085   ,1495    ,244    ,321    ,235
202111   ,1853   ,1129   ,1507    ,239    ,317    ,232
202112   ,1881   ,1187   ,1453    ,236    ,319    ,230
202201   ,2022   ,1188   ,1349    ,234    ,314    ,229
202202   ,2329   ,1002   ,1217    ,230    ,310    ,226
202203   ,2448    ,927   ,1191    ,239    ,308    ,226
202204   ,2302   ,1139   ,1153    ,230    ,314    ,228
202205   ,2288   ,1253   ,1106    ,227    ,310    ,225
202206   ,2164   ,1381   ,1104    ,229    ,304    ,226
202207   ,2284   ,1365   ,1079    ,223    ,303    ,221
202208   ,2121   ,1349   ,1299    ,224    ,300    ,221
202209   ,2330   ,1392   ,1043    ,223    ,303    ,220
202210   ,2229   ,1456   ,1081    ,218    ,291    ,214
202211   ,2237   ,1387   ,1177    ,214    ,290    ,212
202212   ,2379   ,1478    ,986    ,215    ,286    ,209
202301   ,2492   ,1443   ,1000    ,215    ,285    ,211
202302   ,2513   ,1387   ,1038    ,213    ,287    ,208
202303   ,2816   ,1284    ,818    ,214    ,285    ,209
202304   ,2914   ,1217    ,818    ,208    ,272    ,202
202305   ,3044   ,1193    ,707    ,206    ,274    ,201
